scenario,seed,vehicle_id,duration_s,time_loss_s,waiting_time_s,depart_delay_s,route_length_m,co2_mg,nox_mg,fuel_mg
baseline,5,north_to_south_12.189,97.0,16.37,5.0,0.63,994.9,224828.856351,87.302148,71710.821638
baseline,5,north_to_south_12.191,91.0,15.9,0.0,0.81,994.9,238994.676287,93.332683,76228.679076
baseline,5,north_to_south_12.192,89.0,17.19,0.0,0.9,994.9,239522.72028,93.913963,76396.93891
baseline,5,north_to_south_12.194,85.0,12.66,0.0,0.07,994.9,224293.547646,86.736992,71539.490455
baseline,5,north_to_south_12.195,84.0,11.46,0.0,0.16,994.9,225179.428287,88.119413,71821.866234
baseline,5,south_to_north_13.108,80.0,3.66,0.0,0.25,994.9,163102.937388,57.043028,52022.816935
baseline,5,north_to_south_12.198,77.0,4.6,0.0,0.42,994.9,181796.20945,66.602228,57984.821098
baseline,5,south_to_north_13.109,76.0,3.7,0.0,0.95,994.9,166402.387633,58.506324,53075.058173
baseline,5,north_to_south_12.197,81.0,9.26,0.0,0.34,994.9,192259.652307,72.016469,61322.196699
baseline,5,north_to_south_12.188,108.0,16.22,3.0,0.54,994.9,224165.089884,85.285565,71499.690599
baseline,5,north_to_south_12.193,94.0,20.71,0.0,0.98,994.9,220999.156002,85.929197,70489.00042
baseline,5,north_to_south_12.196,89.0,5.02,0.0,0.25,994.9,179590.177227,64.479256,57281.68582
baseline,5,north_to_south_12.199,80.0,4.07,0.0,0.51,994.9,174539.550964,63.457522,55670.398013
baseline,5,south_to_north_13.110,77.0,3.63,0.0,0.66,994.9,173705.354861,61.260906,55404.380434
baseline,5,west_to_east_15.87,105.0,33.12,24.0,0.76,994.9,267890.011972,106.446613,85446.208227
baseline,5,east_to_west_14.95,115.0,38.5,31.0,0.82,994.9,277382.941853,109.608085,88474.583057
baseline,5,west_to_east_15.88,101.0,28.82,20.0,0.29,994.9,250720.438596,97.183348,79969.785168
baseline,5,east_to_west_14.94,122.0,44.43,35.0,0.66,994.9,301607.318342,120.05202,96201.43513
baseline,5,east_to_west_14.96,111.0,39.21,28.0,0.98,994.9,301392.015596,120.873549,96131.993151
baseline,5,east_to_west_14.97,106.0,30.38,21.0,0.13,994.9,273158.64182,107.279812,87126.576449
baseline,5,west_to_east_15.90,90.0,17.4,8.0,0.34,994.9,229124.7386,87.855916,73081.056252
baseline,5,west_to_east_15.85,123.0,41.35,31.0,0.71,994.9,288817.132692,115.119698,92121.818506
baseline,5,east_to_west_14.100,89.0,17.33,5.0,0.6,994.9,248451.269013,97.938958,79245.000364
baseline,5,east_to_west_14.98,102.0,29.92,18.0,0.29,994.9,292671.760037,116.43092,93350.113741
baseline,5,west_to_east_15.92,79.0,6.96,0.0,0.39,994.9,188368.330182,68.628769,60081.131876
baseline,5,east_to_west_14.102,79.0,7.09,0.0,0.91,994.9,200212.366395,74.97435,63858.693844
baseline,5,west_to_east_15.86,120.0,36.22,27.0,0.24,994.9,275838.632198,110.335888,87981.971846
baseline,5,west_to_east_15.91,87.0,14.83,3.0,0.87,994.9,214480.340263,81.235657,68409.898509
baseline,5,west_to_east_15.89,102.0,19.32,8.0,0.81,994.9,232803.637363,91.525431,74254.704377
baseline,5,east_to_west_14.99,103.0,18.04,9.0,0.44,994.9,231885.574927,89.820217,73961.941017
baseline,5,east_to_west_14.101,91.0,8.46,0.0,0.76,994.9,197276.002628,74.113673,62922.482051
baseline,5,east_to_west_14.103,81.0,6.7,0.0,0.07,994.9,183084.141722,66.66546,58395.780495
baseline,5,east_to_west_14.104,76.0,3.78,0.0,0.22,994.9,168261.839467,57.830564,53668.239103
baseline,5,west_to_east_15.94,76.0,3.82,0.0,0.44,994.9,175504.758406,62.351747,55978.258455
baseline,5,east_to_west_14.105,75.0,3.29,0.0,0.38,994.9,163253.539725,57.621165,52070.675533
baseline,5,west_to_east_15.95,77.0,3.67,0.0,0.97,994.9,167838.794644,60.110125,53533.147724
baseline,5,west_to_east_15.93,91.0,5.33,0.0,0.92,994.9,184826.756678,66.645915,58951.971096
baseline,5,south_to_north_13.111,113.0,39.61,32.0,0.37,994.9,283308.658087,112.252305,90364.610575
baseline,5,south_to_north_13.112,108.0,36.03,26.0,0.07,994.9,274125.405439,108.237921,87435.213897
baseline,5,north_to_south_12.203,110.0,37.55,27.0,0.86,994.9,274994.576443,108.267121,87712.539678
baseline,5,south_to_north_13.113,104.0,31.9,24.0,0.78,994.9,263426.721039,102.517421,84022.738698
baseline,5,south_to_north_13.114,99.0,27.35,17.0,0.48,994.9,243609.54981,94.74365,77701.585739
baseline,5,north_to_south_12.200,121.0,43.05,33.0,0.6,994.9,285443.011889,113.708694,91045.648594
baseline,5,south_to_north_13.117,85.0,13.32,3.0,0.6,994.9,206713.66295,78.98972,65932.623714
baseline,5,south_to_north_13.118,82.0,10.26,0.0,0.31,994.9,208844.093252,77.346063,66612.083413
baseline,5,south_to_north_13.115,99.0,21.11,12.0,0.19,994.9,239369.735064,91.774206,76349.183747
baseline,5,south_to_north_13.119,79.0,7.21,0.0,0.01,994.9,193200.546939,72.365429,61622.239806
baseline,5,north_to_south_12.202,121.0,36.39,24.0,0.78,994.9,281022.964043,110.903604,89635.603718
baseline,5,north_to_south_12.205,113.0,40.71,23.0,0.04,994.9,277767.37481,111.135244,88596.816172
baseline,5,north_to_south_12.201,126.0,37.68,28.0,0.69,994.9,283374.360006,113.000934,90385.753369
baseline,5,north_to_south_12.208,106.0,33.48,19.0,0.3,994.9,277200.697519,111.333779,88415.596111
baseline,5,south_to_north_13.120,76.0,4.05,0.0,0.72,994.9,175351.896203,62.358205,55929.508124
baseline,5,north_to_south_12.210,101.0,29.19,14.0,0.48,994.9,284378.221104,113.456422,90704.600158
baseline,5,south_to_north_13.116,98.0,14.62,5.0,0.9,994.9,220969.608273,82.396448,70480.253233
baseline,5,north_to_south_12.204,119.0,38.42,24.0,0.95,994.9,291691.606063,116.773215,93038.156894
baseline,5,north_to_south_12.211,100.0,26.12,12.0,0.57,994.9,265558.874499,107.679659,84701.830958
baseline,5,north_to_south_12.206,116.0,34.78,19.0,0.13,994.9,288372.036228,116.057663,91979.03288
baseline,5,south_to_north_13.121,75.0,3.37,0.0,0.43,994.9,179267.156297,63.657903,57178.288462
baseline,5,north_to_south_12.209,108.0,36.28,18.0,0.39,994.9,287958.030886,115.762595,91846.646834
baseline,5,north_to_south_12.215,90.0,17.99,3.0,0.92,994.9,250628.364751,96.045241,79939.499234
baseline,5,north_to_south_12.216,90.0,17.73,0.0,0.01,994.9,242730.80339,96.464129,77420.200362
baseline,5,north_to_south_12.207,118.0,25.89,14.0,0.22,994.9,250299.018393,98.085135,79835.589383
baseline,5,north_to_south_12.217,89.0,16.52,0.0,0.1,994.9,240515.038954,94.009015,76713.540549
baseline,5,north_to_south_12.220,81.0,9.15,0.0,0.36,994.9,219998.731575,85.006573,70169.486218
baseline,5,south_to_north_13.122,76.0,3.95,0.0,0.13,994.9,164770.992731,58.46491,52554.669652
baseline,5,north_to_south_12.212,105.0,29.35,10.0,0.66,994.9,250039.408963,98.124475,79752.27211
baseline,5,north_to_south_12.221,80.0,7.93,0.0,0.45,994.9,200961.401116,75.718197,64097.562272
baseline,5,north_to_south_12.213,104.0,19.89,4.0,0.74,994.9,244162.810862,94.786092,77877.733864
baseline,5,north_to_south_12.222,79.0,6.69,0.0,0.54,994.9,210058.560862,78.706052,66999.152716
baseline,5,north_to_south_12.214,103.0,13.73,1.0,0.83,994.9,237299.766791,91.770439,75688.557831
baseline,5,north_to_south_12.218,93.0,17.77,0.0,0.18,994.9,227239.434007,87.392766,72479.41768
baseline,5,north_to_south_12.223,78.0,5.45,0.0,0.62,994.9,200264.397676,76.125378,63875.141923
baseline,5,north_to_south_12.219,92.0,12.74,0.0,0.27,994.9,216615.564723,84.270139,69090.670393
baseline,5,south_to_north_13.123,79.0,3.75,0.0,0.84,994.9,176830.869174,64.019477,56401.227518
baseline,5,west_to_east_15.96,117.0,44.82,35.0,0.5,994.9,298308.785609,118.53238,95149.23401
baseline,5,east_to_west_14.107,113.0,41.33,33.0,0.69,994.9,286023.784942,112.611059,91230.712189
baseline,5,east_to_west_14.106,120.0,47.5,38.0,0.54,994.9,300519.018793,119.629561,95854.344169
baseline,5,east_to_west_14.109,104.0,32.3,22.0,0.0,994.9,264868.480017,104.605384,84482.435234
baseline,5,west_to_east_15.97,114.0,36.73,26.0,0.02,994.9,267946.940587,106.827186,85464.643322
