scenario,seed,completed_trips,mean_travel_time_s,mean_delay_s,mean_stopped_delay_s,mean_depart_delay_s,vehicle_km,total_co2_g,total_nox_g,total_fuel_g,mean_queue_proxy_veh,max_queue_proxy_veh
baseline,1,2877,96.58324643726104,21.124893986791797,11.440736878693084,0.4716301703163017,2862.3272999999995,666480.185212795,256.092697363,212579.64098594998,1.0955,8.0
baseline,2,2877,96.39172749391727,20.871199165797705,11.280500521376434,0.4716301703163017,2862.3272999999995,664310.6706705331,255.004710016,211887.64682310302,1.0820333333333334,8.0
baseline,3,2877,95.9047619047619,20.641550225929787,11.238442822384428,0.4716301703163017,2862.3272999999995,662104.9005460939,253.89494744400002,211184.07958839598,1.0763333333333334,8.0
baseline,4,2877,96.09558567952729,20.957222801529372,11.340632603406325,0.4716301703163017,2862.3272999999995,665348.977002205,255.514469446,212218.792696154,1.0899666666666668,8.0
baseline,5,2877,96.36739659367396,21.01943343760862,11.35140771637122,0.4716301703163017,2862.3272999999995,665793.853040711,255.789588322,212360.70336569,1.0887,8.0
peak_retimed,1,2877,95.2606882168926,19.799687174139727,10.774417796315607,0.4716301703163017,2862.3272999999995,652341.010196074,249.42610584500002,208069.77494215302,1.0292333333333332,6.0
peak_retimed,2,2877,95.2919708029197,19.771126173096974,10.820646506777894,0.4716301703163017,2862.3272999999995,652799.550714076,249.57616980999998,208216.03537304,1.0349333333333335,6.0
peak_retimed,3,2877,94.85366701425096,19.58886687521724,10.746611053180397,0.4716301703163017,2862.3272999999995,649638.858752617,248.22730234999997,207207.880514812,1.0288,6.0
peak_retimed,4,2877,94.9541188738269,19.810114702815433,10.851929092805005,0.4716301703163017,2862.3272999999995,652277.1333614509,249.404385554,208049.377948526,1.0357333333333334,6.0
peak_retimed,5,2877,95.12478275981925,19.77279805352798,10.78310740354536,0.4716301703163017,2862.3272999999995,651895.6481351941,249.192945046,207927.714297044,1.0333333333333334,6.0
