feature,coefficient,odds_ratio,lower_ci,upper_ci,p_value
const,-1.521041041317633,0.21848431731648946,0.16453049778917714,0.2901309942817939,7.666209674701224e-26
lighting_group_DARK_OR_UNKNOWN,-1.590675008507106,0.20378800665899907,0.10909415096224692,0.38067624425089436,6.059502697338984e-07
lighting_group_DAWN_DUSK,-0.4266170277421635,0.6527134755214425,0.49007666899236507,0.8693229204386345,0.0035258384613039906
lighting_group_DAYLIGHT,-0.34166263335835273,0.7105878929265312,0.5682259675181317,0.8886168222462577,0.002742682376550257
weather_group_CLEAR,0.07049385335583384,1.0730379738278406,0.9082050921962588,1.2677868723375791,0.4074244293195408
weather_group_OTHER_OR_UNKNOWN,0.14894945446646926,1.1606143238562396,0.8880230753194759,1.5168813133100951,0.27549118173029197
surface_group_NON_DRY,0.13788517639228964,1.1478437431473627,0.9946467449478936,1.324636375049486,0.059224271333442595
surface_group_OTHER_OR_UNKNOWN,-0.346437642683119,0.70720291718875,0.5269637173886086,0.9490899459999319,0.020994569450017455
speed_group_31_40,0.2014093101563788,1.2231253069899504,1.0115983941711684,1.4788828503677145,0.037617672242199925
speed_group_<=20,-0.7687709406731277,0.46358248869533686,0.3695488786479254,0.5815434337434664,3.0020730484256234e-11
speed_group_>40,0.010670693753091756,1.0107278286478267,0.5152145744343185,1.9828063767892965,0.9752398836368193
daypart_EVENING,-0.4495407067486594,0.6379210771928975,0.47030865088774904,0.8652685847024192,0.0038468650907930472
daypart_LATE_NIGHT,-0.23701548990688726,0.7889790667106772,0.5952033412424965,1.0458408489579336,0.09929810784066476
daypart_MIDDAY,-0.16451781598239107,0.8483026434647508,0.7374994003614324,0.9757531661132407,0.02124147045034523
daypart_PM_PEAK,-0.3397063304580387,0.7119793787224585,0.5607448699687178,0.9040022706838091,0.005297603621118122
