month,injury_crashes,crashes,rate,lower_ci,upper_ci
2018-01-01,1340,9532,0.1405791019723038,0.13374598151944533,0.14770180370333952
2018-02-01,613,5468,0.11210680321872714,0.10401523629695025,0.1207430042471303
