analysis_group,period,n_15min_bins,mean_speed_mph,mean_log_total_volume,mean_active_events,mean_active_collisions,mean_active_roadwork,mean_active_disabled_vehicles,share_bins_acute_severe_context,share_bins_all_duration_severe_context,mean_observed_lanes_closed
control,post,1356,65.10930747452713,8.752666073382418,0.16224188790560473,0.025073746312684365,0.0,0.05457227138643068,0.05235988200589971,0.05235988200589971,0.0943952802359882
control,pre,2100,65.0759267755699,8.792436033265112,0.15761904761904763,0.03571428571428571,0.008095238095238095,0.06,0.06952380952380953,0.06952380952380953,0.14047619047619048
treatment,post,1355,57.26945113485687,9.396865900975062,47.730627306273064,0.44059040590405907,44.025830258302584,0.6811808118081181,0.46789667896678966,1.0,80.31955719557196
treatment,pre,2099,62.08430314519286,9.49368396273666,34.96855645545498,0.20867079561696045,33.77941877084326,0.6074321105288233,0.3878037160552644,1.0,56.65650309671272
