outcome,window,post_15min_bins,post_weekdays,mean_gap_treated_minus_synthetic,pre_mean_gap,pre_rmspe,post_rmspe,post_pre_rmspe_ratio,in_space_randomization_p_value_full_20_weekday_ratio,n_treatment_zones_fixed_corridor,n_donor_zones_balanced,n_pre_15min_bins,n_post_15min_bins_full,ridge_lambda_for_stability,approximate_percent_change_from_gap
speed_mph,first_5_weekdays,340,5,-5.1431092725532555,-0.040720860839258174,2.808976128104794,7.333498699268061,2.610737281066161,0.125,36,7,2099,1355,1e-06,
speed_mph,first_10_weekdays,680,10,-5.449532502695439,-0.040720860839258174,2.808976128104794,7.833570528497374,2.7887636531046835,0.125,36,7,2099,1355,1e-06,
speed_mph,full_20_weekdays,1355,20,-5.431012487464721,-0.040720860839258174,2.808976128104794,7.847082482459512,2.79357393035373,0.125,36,7,2099,1355,1e-06,
mean_zone_log1p_volume,first_5_weekdays,340,5,0.05663324308085461,-0.009867966482172221,0.22594127696086574,0.20974024737585908,0.928295396914957,0.8181818181818182,36,10,2099,1355,1e-06,5.826761224357457
mean_zone_log1p_volume,first_10_weekdays,680,10,0.05944818316517998,-0.009867966482172221,0.22594127696086574,0.24503386248648815,1.0845024237378695,0.8181818181818182,36,10,2099,1355,1e-06,6.125076889899628
mean_zone_log1p_volume,full_20_weekdays,1355,20,0.08011546093446786,-0.009867966482172221,0.22594127696086574,0.24573973135739377,1.0876265490876076,0.8181818181818182,36,10,2099,1355,1e-06,8.341215223314036
