outcome,pseudo_treated_zone,pre_rmspe,post_rmspe,post_pre_rmspe_ratio,effective_donor_count,ratio_at_least_as_large_as_actual
speed_mph,95191,9.679521578040271,9.01060183661893,0.9308933054151245,2.1216228773428436,False
speed_mph,95270,7.087282766740998,5.401273335121338,0.7621077799334156,4.589428178728673,False
speed_mph,95271,12.73525587612223,12.046838095090624,0.9459439380152272,2.9931472519602242,False
speed_mph,95335,3.9470733341502107,5.093106905723222,1.290350210029667,1.2397230245171755,False
speed_mph,95410,15.96768172707399,15.23721734715199,0.954253573411132,2.4968223162346646,False
speed_mph,95411,8.607380991679733,6.718355873333799,0.7805342739943837,2.312717314665524,False
speed_mph,141348,4.221775345152419,5.254642683614586,1.2446523687358542,1.0794379079280456,False
mean_zone_log1p_volume,95040,0.1347999973579515,0.9766667671120802,7.245302568653717,2.624425847532298,True
mean_zone_log1p_volume,95110,0.3554883862731493,0.4286297872477699,1.2057490590379523,1.8679742577305456,True
mean_zone_log1p_volume,95111,0.7058868041615194,0.909710136226474,1.2887478996112758,1.0,True
mean_zone_log1p_volume,95191,0.2409502694909462,0.44369749818062515,1.8414484412821843,2.5519787563438046,True
mean_zone_log1p_volume,95270,0.1724118640333332,0.254574502906297,1.4765486373784518,3.8254879166998856,True
mean_zone_log1p_volume,95271,0.2102579971036693,0.246748024453907,1.173548820272677,3.642454271779747,True
mean_zone_log1p_volume,95335,0.1539805676056684,0.6582409658421601,4.274831402933007,1.8288866650050049,True
mean_zone_log1p_volume,95410,0.21472516845935397,0.23117382068352216,1.0766032801007295,1.6230077680331068,False
mean_zone_log1p_volume,95411,0.1833592012354255,0.19606258616912126,1.0692814151027257,1.427283025649149,False
mean_zone_log1p_volume,141348,0.28917438469521817,0.3924587284704348,1.3571697537597442,2.5377934212920588,True
